상호명,지점명,시도명,시군구명,도로명주소
스타벅스,스타필드부천점,경기도,부천시,경기도 부천시 옥길로 1
스타벅스,용인김량장DT점,경기도,용인시 처인구,경기도 용인시 처인구 백옥대로 1174
스타벅스,배곧신도시점,경기도,시흥시,경기도 시흥시 서울대학로278번길 43-13
스타벅스,평택비전점,경기도,평택시,경기도 평택시 비전5로 20-24
스타벅스,하남미사DT점,경기도,하남시,경기도 하남시 미사강변남로 35
스타벅스,남한산성입구역점,경기도,성남시 중원구,경기도 성남시 중원구 산성대로426번길 2
스타벅스,양주옥정타운점,경기도,양주시,경기도 양주시 회천남로 76
스타벅스,경기광주쌍령DT점,경기도,광주시,경기도 광주시 경충대로 1445
스타벅스,의정부이마트,경기도,의정부시,경기도 의정부시 민락로 210
스타벅스,부천상동역점,경기도,부천시,경기도 부천시 길주로 105
스타벅스,다산지금점,경기도,남양주시,경기도 남양주시 다산지금로 139
스타벅스,양주송추DT점,경기도,양주시,경기도 양주시 장흥면 호국로 528
스타벅스,철산역점,경기도,광명시,경기도 광명시 철산로 15
스타벅스,판교유스페이스점,경기도,성남시 분당구,경기도 성남시 분당구 대왕판교로 670
스타벅스,수원영통점,경기도,수원시 영통구,경기도 수원시 영통구 봉영로 1617
스타벅스,하남덕풍점,경기도,하남시,경기도 하남시 덕풍동로 123
스타벅스,지행역점,경기도,동두천시,경기도 동두천시 지행로 55
스타벅스,광명역점,경기도,광명시,경기도 광명시 양지로 16
스타벅스,남양주연평DT점,경기도,남양주시,경기도 남양주시 진접읍 해밀예당1로 27
스타벅스,용인상하DT점,경기도,용인시 기흥구,경기도 용인시 기흥구 중부대로 771
스타벅스,원당DT점,경기도,고양시 덕양구,경기도 고양시 덕양구 호국로 811
스타벅스,미금역사거리점,경기도,성남시 분당구,경기도 성남시 분당구 성남대로 151
스타벅스,,경기도,김포시,경기도 김포시 김포한강1로 68
스타벅스커피분당서울대병원1층,,경기도,성남시 분당구,경기도 성남시 분당구 구미로173번길 82
스타벅스,역곡역DT점,경기도,부천시,경기도 부천시 경인로 485
스타벅스김포풍무DT,김포풍무DT,경기도,김포시,경기도 김포시 풍무로 45-1
스타벅스,죽전이마트점,경기도,용인시 수지구,경기도 용인시 수지구 포은대로 552
스타벅스,김포운양점,경기도,김포시,경기도 김포시 김포한강11로 288-32
