광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세이상계,65세이상남자,65세이상여자,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역
경상남도,진해구,48513,26151,22363,26642,11681,14962,192315,98368,93947,0.8393889347646573,False,False
경상남도,창녕군,10364,5824,4543,18628,7496,11135,61342,30533,30809,0.2438801803736311,True,False
경상남도,통영시,26113,13875,12239,24327,10427,13901,128933,64768,64165,0.503103547498664,False,False
경상남도,하동군,6591,3798,2796,15239,6074,9166,45390,22642,22748,0.1834766060765142,True,True
경상남도,함안군,11629,6321,5309,15608,6415,9195,64502,32679,31824,0.34014607893388005,True,False
경상남도,함양군,5849,3200,2650,12940,5022,7919,39045,18852,20193,0.20479134466769705,True,False
경상남도,합천군,5835,3287,2548,17183,6561,10623,44160,21273,22887,0.1482860967235058,True,True
경상북도,경산시,69597,37754,31844,43051,18301,24751,261751,131713,130039,0.739680843650554,False,False
경상북도,경주시,53175,29197,23979,55535,23097,32439,252663,126557,126106,0.4317817592509228,True,False
경상북도,고령군,5047,2840,2209,9745,4135,5612,31647,16206,15441,0.2266803488968702,True,False
경상북도,구미시,124029,67022,57007,38533,16338,22196,416001,213221,202780,1.4794332130900787,False,False
경상북도,군위군,3010,1764,1246,9274,3984,5292,23385,11957,11428,0.13435410825965063,True,True
경상북도,김천시,30287,16483,13806,31687,13022,18667,140112,70262,69850,0.43569918263010066,True,False
경상북도,남구,54569,30624,23945,38988,17675,21313,231641,119277,112364,0.6141633323073766,False,False
경상북도,문경시,12188,6673,5516,21066,8507,12559,71267,34971,36296,0.2618437292319377,True,False
경상북도,봉화군,4109,2297,1814,11291,4813,6479,31492,15846,15647,0.16065893189265787,True,True
경상북도,북구,63114,33858,29256,45353,19980,25373,270547,134498,136049,0.6450730932904107,False,False
경상북도,상주시,16322,9157,7165,29928,11947,17981,98241,48211,50030,0.2394079123229083,True,False
경상북도,성주군,7030,4003,3028,13625,5854,7774,43400,22450,20950,0.22223853211009173,True,False
경상북도,안동시,32600,17378,15222,38301,15973,22328,158634,78530,80104,0.3974308764784209,True,False
경상북도,영덕군,5059,2775,2284,13498,5194,8305,36484,17340,19145,0.16921025337086976,True,True
경상북도,영양군,2242,1261,981,6125,2521,3604,16667,8279,8388,0.16016326530612246,True,True
경상북도,영주시,18594,10432,8163,27545,11572,15975,103452,51295,52157,0.29635142494100564,True,False
경상북도,영천시,19951,11381,8572,28034,11844,16191,101506,51618,49888,0.30577156310194764,True,False
경상북도,예천군,9631,5084,4548,16520,6811,9710,55042,27054,27989,0.27530266343825666,True,False
경상북도,울릉군,1768,1059,713,2291,1036,1257,9185,5008,4177,0.3112178088171104,True,False
경상북도,울진군,8904,5042,3864,13424,5299,8126,48710,24423,24288,0.28784266984505363,True,False
경상북도,의성군,6607,3743,2865,21081,8626,12459,51647,25277,26371,0.13590436886295718,True,True
경상북도,청도군,5821,3276,2547,15701,6532,9170,42279,20776,21503,0.16221896694478058,True,True
경상북도,청송군,3527,2088,1439,9189,3879,5310,25052,12513,12539,0.15660028294700185,True,True
경상북도,칠곡군,28045,15524,12522,17669,7422,10247,114969,59991,54978,0.7086988510951384,False,False
광주광역시,광산구,113180,58566,54616,37126,15179,21948,403810,203241,200569,1.4710984215913376,False,False
광주광역시,남구,54446,27512,26935,36561,15593,20969,214845,103448,111397,0.7367139848472416,False,False
광주광역시,동구,27106,14033,13073,21207,9280,11928,99138,49085,50053,0.61644739944358,False,False
광주광역시,북구,118632,61966,56668,62737,26975,35762,429591,213094,216498,0.9032628273586559,False,False
광주광역시,서구,82728,42130,40599,41057,17602,23456,297084,145639,151445,0.9888447767737536,False,False
대구광역시,남구,37443,19243,18202,32971,13679,19293,145124,69856,75268,0.5520609020047921,False,False
대구광역시,달서구,147638,77792,69847,77721,33394,44327,560982,276907,284076,0.8986889000398862,False,False
대구광역시,달성군,71490,38075,33417,31631,13772,17862,257019,130483,126536,1.0564635958395245,False,False
대구광역시,동구,86337,45826,40511,64999,27493,37509,340729,167923,172807,0.6232557423960369,False,False
대구광역시,북구,115385,61397,53992,61525,25971,35555,436380,217210,219170,0.8775619666802112,False,False
대구광역시,서구,39938,22256,17683,37166,15673,21493,170923,85626,85297,0.4757843190012377,True,False
대구광역시,수성구,98867,50902,47965,64405,27196,37210,423483,205156,218328,0.7447403151929198,False,False
대구광역시,중구,22509,11223,11288,15239,6269,8971,75567,36422,39146,0.7407310190957412,False,False
대전광역시,대덕구,44730,24561,20171,26758,11676,15085,175497,89154,86343,0.7538306300919351,False,False
대전광역시,동구,56703,30262,26442,41078,17876,23202,222608,112097,110512,0.6437022250352987,False,False
대전광역시,서구,140045,71323,68725,58712,25886,32828,476497,234238,242260,1.1705443520915657,False,False
대전광역시,유성구,108310,57104,51206,32159,14163,17998,348735,176042,172693,1.5922758792251004,False,False
대전광역시,중구,57858,29719,28139,44187,19157,25030,235822,116308,119515,0.6368162581754815,False,False
부산광역시,강서구,38916,20200,18716,15634,7351,8284,132918,68663,64255,1.1971344505564794,False,False
