광역시도,시군구,행정구,구분,인구수,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
전라북도, 부안군,,여자,26286 ,531 ,738 ,828 ,977 ,1115 ,846 ,758 ,1081 ,1153 ,1535 ,1773 ,2301 ,2535 ,2181 ,2135 ,2195 ,3607 ,1948 ,1659 ,1184 ,387 ,71 ,18 
전라남도,소계,,계,1847811 ,58641 ,77127 ,79502 ,91605 ,108735 ,93397 ,81125 ,108182 ,117988 ,142462 ,154111 ,158689 ,150280 ,112432 ,100072 ,91460 ,122006 ,70894 ,51113 ,35770 ,12149 ,2818 ,377 
전라남도,소계,,남자,928468 ,30005 ,39247 ,40937 ,47882 ,60348 ,52029 ,42610 ,57037 ,62568 ,77015 ,83689 ,83580 ,76775 ,55414 ,46726 ,36340 ,36271 ,23805 ,12466 ,9477 ,2520 ,425 ,45 
전라남도,소계,,여자,919344 ,28637 ,37880 ,38566 ,43723 ,48388 ,41369 ,38515 ,51145 ,55420 ,65447 ,70423 ,75110 ,73505 ,57018 ,53346 ,55121 ,85736 ,47089 ,38647 ,26293 ,9629 ,2393 ,332 
전라남도, 목포시,,계,225273 ,7419 ,11875 ,11985 ,13195 ,15254 ,12112 ,10694 ,16148 ,17670 ,19894 ,18500 ,17645 ,16328 ,11578 ,9750 ,7547 ,7683 ,4669 ,3014 ,2124 ,715 ,163 ,13 
전라남도, 목포시,,남자,112219 ,3872 ,6056 ,6121 ,6781 ,8336 ,6426 ,5442 ,8382 ,9102 ,10245 ,9520 ,8534 ,7837 ,5487 ,4456 ,3198 ,2427 ,1649 ,779 ,606 ,151 ,19 ,3 
전라남도, 목포시,,여자,113054 ,3547 ,5819 ,5864 ,6414 ,6919 ,5686 ,5252 ,7767 ,8568 ,9649 ,8980 ,9111 ,8491 ,6091 ,5295 ,4349 ,5256 ,3021 ,2235 ,1518 ,564 ,144 ,10 
전라남도, 여수시,,계,279854 ,9269 ,12233 ,12394 ,14748 ,17963 ,15993 ,13625 ,17862 ,19186 ,22904 ,23921 ,24412 ,22489 ,16981 ,13643 ,10346 ,11888 ,6855 ,5033 ,3490 ,1222 ,287 ,35 
전라남도, 여수시,,남자,142573 ,4735 ,6195 ,6337 ,7796 ,9989 ,9176 ,7417 ,9467 ,10073 ,12110 ,12593 ,12565 ,11184 ,8433 ,6507 ,4333 ,3668 ,2468 ,1201 ,937 ,222 ,39 ,4 
전라남도, 여수시,,여자,137281 ,4534 ,6039 ,6057 ,6952 ,7974 ,6817 ,6209 ,8396 ,9113 ,10795 ,11329 ,11847 ,11306 ,8548 ,7137 ,6013 ,8220 ,4388 ,3832 ,2553 ,1000 ,249 ,31 
전라남도, 순천시,,계,279602 ,10181 ,13694 ,14363 ,16402 ,19801 ,17330 ,14491 ,18612 ,19692 ,23642 ,24990 ,23683 ,19630 ,13013 ,10268 ,8393 ,11421 ,6425 ,4996 ,3468 ,1207 ,283 ,39 
전라남도, 순천시,,남자,139449 ,5275 ,7014 ,7397 ,8650 ,10690 ,9398 ,7490 ,9429 ,9596 ,11714 ,12525 ,12068 ,9903 ,6539 ,4870 ,3417 ,3478 ,2225 ,1253 ,957 ,257 ,37 ,3 
전라남도, 순천시,,여자,140153 ,4907 ,6680 ,6966 ,7752 ,9111 ,7932 ,7002 ,9183 ,10097 ,11928 ,12465 ,11615 ,9727 ,6474 ,5398 ,4976 ,7943 ,4200 ,3743 ,2511 ,951 ,246 ,36 
전라남도, 나주시,,계,114376 ,4766 ,5464 ,4730 ,4650 ,5778 ,6566 ,6527 ,8152 ,8098 ,8155 ,8228 ,8915 ,8961 ,6535 ,5857 ,5611 ,7385 ,4220 ,3166 ,2218 ,764 ,160 ,24 
전라남도, 나주시,,남자,57604 ,2429 ,2778 ,2458 ,2367 ,3068 ,3451 ,3342 ,4313 ,4437 ,4704 ,4558 ,4788 ,4629 ,3252 ,2721 ,2210 ,2104 ,1330 ,775 ,575 ,155 ,41 ,5 
전라남도, 나주시,,여자,56772 ,2338 ,2686 ,2272 ,2283 ,2711 ,3115 ,3185 ,3840 ,3661 ,3451 ,3671 ,4128 ,4332 ,3284 ,3137 ,3402 ,5281 ,2890 ,2391 ,1644 ,610 ,119 ,19 
전라남도, 광양시,,계,153640 ,6072 ,7822 ,7755 ,8888 ,11168 ,9713 ,8366 ,10684 ,11175 ,13247 ,16006 ,13106 ,9998 ,6295 ,4537 ,3504 ,5306 ,3032 ,2274 ,1562 ,564 ,141 ,8 
전라남도, 광양시,,남자,79924 ,3109 ,3961 ,4007 ,4596 ,6383 ,5734 ,4482 ,5692 ,5770 ,6645 ,8744 ,7167 ,5277 ,3273 ,2174 ,1347 ,1568 ,1049 ,519 ,397 ,108 ,13 ,2 
전라남도, 광양시,,여자,73716 ,2964 ,3862 ,3748 ,4293 ,4785 ,3979 ,3884 ,4993 ,5406 ,6603 ,7263 ,5939 ,4721 ,3022 ,2363 ,2158 ,3738 ,1983 ,1755 ,1165 ,457 ,128 ,6 
전라남도, 담양군,,계,46034 ,1134 ,1246 ,1334 ,1736 ,2708 ,2233 ,1698 ,2028 ,2149 ,3115 ,3713 ,4413 ,4460 ,3488 ,3183 ,3088 ,4311 ,2493 ,1818 ,1242 ,450 ,108 ,20 
전라남도, 담양군,,남자,23452 ,544 ,651 ,690 ,926 ,1647 ,1263 ,866 ,1093 ,1228 ,1869 ,2069 ,2419 ,2357 ,1742 ,1543 ,1217 ,1331 ,849 ,482 ,357 ,102 ,22 ,2 
전라남도, 담양군,,여자,22582 ,591 ,596 ,644 ,810 ,1061 ,971 ,832 ,935 ,921 ,1247 ,1644 ,1994 ,2103 ,1746 ,1640 ,1871 ,2980 ,1644 ,1336 ,885 ,348 ,86 ,18 
전라남도, 곡성군,,계,28267 ,471 ,682 ,836 ,1197 ,1417 ,1084 ,754 ,1008 ,1216 ,1882 ,2263 ,2647 ,2724 ,2142 ,2128 ,2182 ,3637 ,2050 ,1588 ,1092 ,397 ,88 ,12 
전라남도, 곡성군,,남자,13835 ,233 ,355 ,457 ,608 ,745 ,606 ,400 ,556 ,678 ,1064 ,1290 ,1437 ,1462 ,1075 ,981 ,817 ,1074 ,673 ,401 ,306 ,81 ,13 ,3 
전라남도, 곡성군,,여자,14433 ,238 ,327 ,379 ,589 ,672 ,479 ,355 ,452 ,539 ,818 ,973 ,1210 ,1263 ,1067 ,1147 ,1366 ,2563 ,1377 ,1187 ,787 ,316 ,75 ,9 
전라남도, 구례군,,계,25985 ,471 ,726 ,875 ,1069 ,1176 ,929 ,746 ,1036 ,1245 ,1791 ,2178 ,2499 ,2507 ,2037 ,1892 ,2007 ,2805 ,1643 ,1162 ,802 ,291 ,58 ,12 
전라남도, 구례군,,남자,12663 ,229 ,360 ,453 ,577 ,639 ,491 ,372 ,582 ,654 ,1021 ,1230 ,1355 ,1267 ,961 ,870 ,737 ,869 ,568 ,301 ,227 ,63 ,11 ,1 
전라남도, 구례군,,여자,13322 ,243 ,366 ,422 ,492 ,538 ,438 ,375 ,454 ,591 ,770 ,948 ,1145 ,1240 ,1076 ,1022 ,1271 ,1936 ,1075 ,861 ,575 ,228 ,47 ,11 
전라남도, 고흥군,,계,64022 ,1198 ,1450 ,1760 ,2243 ,2513 ,1812 ,1609 ,2164 ,2702 ,3696 ,4582 ,5761 ,6585 ,5888 ,5789 ,5689 ,8585 ,4768 ,3818 ,2600 ,939 ,242 ,38 
전라남도, 고흥군,,남자,31065 ,577 ,744 ,929 ,1204 ,1458 ,1032 ,880 ,1180 ,1536 ,2216 ,2633 ,3066 ,3327 ,2846 ,2621 ,2276 ,2544 ,1584 ,960 ,701 ,220 ,32 ,7 
전라남도, 고흥군,,여자,32957 ,621 ,707 ,831 ,1039 ,1056 ,780 ,729 ,984 ,1166 ,1480 ,1949 ,2696 ,3259 ,3042 ,3168 ,3414 ,6042 ,3184 ,2858 ,1899 ,719 ,211 ,31 
전라남도, 보성군,,계,40544 ,818 ,1030 ,1187 ,1498 ,1777 ,1284 ,1159 ,1465 ,1813 ,2421 ,3070 ,3629 ,4023 ,3390 ,3269 ,3399 ,5316 ,3009 ,2307 ,1619 ,539 ,126 ,24 
전라남도, 보성군,,남자,19742 ,416 ,544 ,580 ,785 ,997 ,724 ,628 ,777 ,1003 ,1418 ,1793 ,1953 ,2083 ,1638 ,1531 ,1288 ,1587 ,1016 ,571 ,427 ,116 ,25 ,4 
전라남도, 보성군,,여자,20802 ,402 ,486 ,607 ,713 ,781 ,560 ,531 ,688 ,810 ,1003 ,1277 ,1676 ,1941 ,1752 ,1739 ,2111 ,3729 ,1993 ,1736 ,1192 ,423 ,101 ,20 
