공식명칭,위도,경도,빈도
돈물국수,33.51409989648781,126.53535694152593,1
돈사돈 중문점,33.2509771670023,126.433049252477,1
돈사돈본관,33.478875196852066,126.46402006179694,4
돈사촌,33.2552207390825,126.572546978954,1
돌담너머바다,33.495714349541,126.439796781144,1
돌염전,33.4834138275298,126.37652048642,1
동문로터리,33.513074179864,126.527804555978,1
동문재래시장,33.51158874635444,126.52601736630041,9
동박낭,33.2760210014731,126.676999059308,1
동백동산,33.5164508045545,126.716028545663,2
동한두기,33.5146861304137,126.515637551196,1
돼지촌,33.4838368620667,126.483388833457,1
두산봉,33.47711943892962,126.88739174720739,1
듀블라썸,33.5390097038327,126.636399605678,1
드렁큰디제이,33.4860621223485,126.39201266863,1
디스이즈핫,33.5131489720297,126.897326953126,1
따라비오름,33.3887069884228,126.752858386101,2
떡하니,33.5537694394838,126.807833127162,1
라로펠로,33.482326307681,126.695955292255,1
라리저브독채펜션,33.5103686092444,126.889163327806,2
렛츠런팜 제주,33.41842010343655,126.68145293165067,1
로드129,33.4643081022978,126.321048106969,1
로컬크랩,33.36882360726549,126.8144344230491,2
로타리빌딩,33.4862425225287,126.478274417715,1
롯데시네마 제주아라,33.4838246695671,126.535908152018,1
롯데시티호텔 제주,33.4906945837847,126.486477218467,1
롯데호텔 제주,33.2484564531332,126.410600157083,4
르토아베이스먼트,33.532984763900366,126.8442963119275,5
르페도라,33.289612431858544,126.6292740116364,5
리치망고 협재점,33.402414179625,126.251784334768,1
리틀이태리비스트로,33.3250439461173,126.845815260429,1
마가리따은혜씨,33.46097472289318,126.93431882095089,1
마담제게스트하우스,33.25780283158064,126.45779959235874,1
마레벤또,33.4626081855416,126.311651375914,1
마레보리조트,33.4706533976688,126.354450892,1
마로펜션,33.3984069326268,126.246323922005,1
마마뜰,33.3101922253042,126.333571516211,9
마모루,33.4988789047125,126.531441501793,1
만선식당,33.2178625441496,126.249810687304,2
만세국수 삼성혈점,33.49766127143781,126.53706972376224,2
만월당,33.5561833763201,126.792962824224,4
